URL,Filename,File Type,File Size (MB),Package Name,App Name,Play Integrity Verdict,PI Fail Reasons,PI Warning Reasons,Wake Lock Detected,WL Confidence,WL Needs Review,WL Vectors,QA Verdict,QA Notes
https://whitelabel-cdn-prod.digitalturbine.com/files/69216dd3-c235-45d7-9c2c-97e5c269f680.apk,69216dd3-c235-45d7-9c2c-97e5c269f680.apk,apk,73.5,org.mozilla.focus,Firefox Focus,PASS,,,No,high,No,,PASS,
https://whitelabel-cdn-prod.digitalturbine.com/files/e4b13977-7997-4ab4-ba07-446d08022a44.apks,e4b13977-7997-4ab4-ba07-446d08022a44.apks,apks,289.68,com.block.juggle,Block Blast!,PASS,,,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/4d928608-36b4-4b1b-93a6-c26a784292fb.apk,4d928608-36b4-4b1b-93a6-c26a784292fb.apk,apk,53.73,in.playsimple.word_up,Word Trek,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/9f6c89a9-babc-4334-b995-621358517f15.apk,9f6c89a9-babc-4334-b995-621358517f15.apk,apk,785.49,com.yoozoo.jgame.us,Echocalypse: Scarlet Covenant,PASS,,,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/650cb086-fd99-46ee-be10-f23a2a060695.apk,650cb086-fd99-46ee-be10-f23a2a060695.apk,apk,165.96,com.opera.browser,Opera,PASS,,,Yes,medium,No,View.setKeepScreenOn(true); Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/98ca7a2e-1c7b-4e36-813f-39e1e0ef9080.apks,98ca7a2e-1c7b-4e36-813f-39e1e0ef9080.apks,apks,106.46,com.yoogalabgaming.puzzle.sort.water,Water Sort,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/4fe6b2a9-a726-4f4c-b4a3-c1b5bce2a648.apks,4fe6b2a9-a726-4f4c-b4a3-c1b5bce2a648.apks,apks,131.53,in.playsimple.wordsearch,Word Search,WARNING,,Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); View.setKeepScreenOn(true); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/49dbda0c-dc5c-496e-987a-3ca75dc4c70a.apks,49dbda0c-dc5c-496e-987a-3ca75dc4c70a.apks,apks,41.36,com.claro.pe.miclaro,Mi Claro,WARNING,,Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/478303e9-43e9-47d3-9d91-78c0a9d1caf7.apk,478303e9-43e9-47d3-9d91-78c0a9d1caf7.apk,apk,63.78,com.DawnGroveStudios.NeonSpire,Neon Spire,PASS,,,Yes,low,Yes,MediaPlayer.setScreenOnWhilePlaying(true),PASS,Wake Lock requires manual review
https://whitelabel-cdn-prod.digitalturbine.com/files/86c56fdd-c7d7-400f-acd0-bb8bdea559ae.apks,86c56fdd-c7d7-400f-acd0-bb8bdea559ae.apks,apks,143.3,com.skgames.trafficrider,Traffic Rider,WARNING,,Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/bb044ffe-bb99-40e6-a506-8483fd4e9b4b.apks,bb044ffe-bb99-40e6-a506-8483fd4e9b4b.apks,apks,276.64,com.champion.cubes,Cubes Empire Champions,WARNING,,Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); View.setKeepScreenOn(true); Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/3aabdd0c-189a-409e-ba0c-ed20be11c043.apks,3aabdd0c-189a-409e-ba0c-ed20be11c043.apks,apks,85.08,math.puzzle.games.crossmath.number.puzzles.free,Cross Math,WARNING,,Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); View.setKeepScreenOn(true); View.setKeepScreenOn(true); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/f1dcfb39-00d7-4170-8644-ec828ca1c082.apks,f1dcfb39-00d7-4170-8644-ec828ca1c082.apks,apks,166.83,io.randomco.travel,Travel Town,WARNING,,Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/97aa0076-998b-4c17-a501-f5ce21fd903f.apk,97aa0076-998b-4c17-a501-f5ce21fd903f.apk,apk,116.27,com.elex.coq.gp,Clash of Queens,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/e457dc31-1642-4dfa-aab0-443d600e9a40.apks,e457dc31-1642-4dfa-aab0-443d600e9a40.apks,apks,41.2,com.move.realtor,realtor.com,WARNING,,Play Integrity API,No,high,No,,WARNING,Play Integrity WARNING: Play Integrity API
https://whitelabel-cdn-prod.digitalturbine.com/files/986ef3c2-9c9d-4b98-8cce-7680c4762c13.apks,986ef3c2-9c9d-4b98-8cce-7680c4762c13.apks,apks,190.7,com.mobilityware.spider,Spider,WARNING,,Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/c614dc56-4b01-46dd-8995-20845fa05b58.apk,c614dc56-4b01-46dd-8995-20845fa05b58.apk,apk,184.51,com.audible.application,Audible,PASS,,,Yes,medium,No,PowerManager.newWakeLock(SCREEN_*); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); PowerManager.newWakeLock(SCREEN_*); AXML keepScreenOn=true in res/layout/video_player_layout.xml,PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/e68a3964-2509-4bc7-836f-7870dde809f6.apks,e68a3964-2509-4bc7-836f-7870dde809f6.apks,apks,175.87,mx.com.liverpool.shoppingapp,Liverpool,WARNING,,Play Integrity API,Yes,medium,No,View.setKeepScreenOn(true); View.setKeepScreenOn(true); View.setKeepScreenOn(true); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); PowerManager.newWakeLock(SCREEN_*); Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/fragment_bottom_sheet_expandable.xml; AXML keepScreenOn=true in res/layout/fragment_digital_card.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
